地址,房子朝向,租贷类型,户型,楼层,住房面积,价格（元/月）,来源,特点,是否精选
房山-长阳-九洲溪雅苑二区,南,整租,2室1厅1卫,中楼层（15层）,93.00㎡,3500,链家,"官方核验,精装,随时看房",0
昌平-东关-建安里小区,南北,整租,3室2厅1卫,高楼层（11层）,120.12㎡,6000,链家,"官方核验,近地铁,精装,集中供暖",0
海淀-上地-宣海家园,南,合租,3居室,高楼层（18层）,18.00㎡,3430,自如,"公寓,近地铁,精装,集中供暖,押一付一,随时看房",0
房山-长阳-长阳半岛怡和路1号院,南北,整租,3室1厅1卫,中楼层（12层）,96.59㎡,5500,链家,"官方核验,近地铁,精装,集中供暖",0
朝阳-潘家园-劲松七区,西南,整租,2室1厅1卫,高楼层（6层）,52.29㎡,5330,自如,"公寓,精装,集中供暖,押一付一,随时看房",0
大兴-黄村中-三合南里,南,整租,2室1厅1卫,高楼层（6层）,65.46㎡,4460,自如,"公寓,精装,集中供暖,押一付一,随时看房",0
大兴-旧宫-宣颐家园,南北,整租,3室1厅2卫,中楼层（4层）,136.98㎡,7600,链家,"官方核验,双卫生间,随时看房",0
海淀-小西天-索家坟,西南,合租,3居室,高楼层（6层）,14.20㎡,3830,自如,"公寓,精装,独立阳台,集中供暖,押一付一,随时看房",0
朝阳-劲松-劲松五区,南,合租,2居室,中楼层（6层）,15.50㎡,3133,自如,"公寓,近地铁,精装,集中供暖,押一付一,随时看房",0
怀柔-怀柔-万通龙山新新小镇,南北,整租,4室2厅3卫,低楼层（2层）,202.67㎡,9900,链家,"官方核验,精装",0
昌平-沙河-龙湖滟澜新宸东区,南北,整租,3室1厅1卫,中楼层（14层）,95.73㎡,4900,链家,"官方核验,集中供暖,随时看房",0
亦庄开发区-亦庄-国融国际,东,整租,2房间1卫,中楼层（16层）,68.88㎡,4500,链家,"官方核验,近地铁,集中供暖",0
石景山-鲁谷-远洋山水,南西北,整租,4室2厅2卫,中楼层（18层）,168.00㎡,16000,链家,"官方核验,近地铁,精装,集中供暖,双卫生间,随时看房",0
通州-潞苑-V7九间堂,南北,整租,5室5厅6卫,低楼层（5层）,277.14㎡,17000,链家,"官方核验,精装,集中供暖,随时看房",0
丰台-方庄-芳群园一区,南,整租,2室1厅1卫,低楼层（22层）,56.36㎡,7260,自如,"公寓,精装,集中供暖,押一付一",1
东城-朝阳门外-潘家坡胡同4号院,南,整租,2室1厅1卫,低楼层（5层）,54.54㎡,7430,自如,"公寓,近地铁,精装,集中供暖,押一付一,随时看房",1
通州-武夷花园-通州富力中心A,南北,整租,3室1厅2卫,高楼层（45层）,148.15㎡,10000,链家,"官方核验,近地铁,精装,集中供暖,双卫生间",0
顺义-后沙峪-智地香蜜湾,北,整租,3房间2卫,低楼层（8层）,51.87㎡,6200,链家,"官方核验,精装,集中供暖,双卫生间",0
大兴-枣园-枣园东里,南,合租,3居室,高楼层（6层）,20.10㎡,2390,自如,"公寓,近地铁,精装,独立阳台,集中供暖,押一付一,随时看房",1
朝阳-奥林匹克公园-国奥村,南西北,整租,4室2厅3卫,高楼层（6层）,222.03㎡,32000,链家,"官方核验,精装,集中供暖,随时看房",0
门头沟-上岸地铁-泷悦•长安剑桥园,南北,整租,5室1厅6卫,低楼层（3层）,255.00㎡,19999,链家,"官方核验,集中供暖,随时看房",0
密云-鼓楼街道-保利花园C区,南北,整租,2室1厅1卫,中楼层（6层）,89.98㎡,2400,链家,"官方核验,精装,集中供暖",0
怀柔-怀柔-乐红园,南北,整租,3室2厅2卫,高楼层（6层）,147.32㎡,3000,链家,"官方核验,精装,集中供暖,双卫生间,随时看房",0
朝阳-劲松-垂杨柳西里,南,合租,3居室,低楼层（5层）,17.50㎡,3130,自如,"公寓,月租,精装,独立阳台,集中供暖,押一付一",1
朝阳-双桥-艺水芳园,南,合租,4居室,高楼层（15层）,10.20㎡,2030,自如,"公寓,精装,押一付一,随时看房",1
亦庄开发区-亦庄河西区-南海雅苑北区,东南,整租,2室1厅1卫,高楼层（22层）,74.29㎡,5000,链家,"官方核验,精装,集中供暖",0
海淀-颐和园-北坞嘉园西里,南,合租,3居室,中楼层（6层）,14.10㎡,3192,自如,"公寓,月租,精装,押一付一,随时看房",1
丰台-方庄-日月天地,北,整租,1室1厅1卫,中楼层（28层）,102.25㎡,8000,链家,"官方核验,集中供暖,随时看房",0
密云-鼓楼街道-蓝河湾,南北,整租,2室1厅1卫,中楼层（5层）,89.11㎡,2500,链家,"官方核验,精装,集中供暖",0
亦庄开发区-亦庄-亲爱的villa,南北,整租,7室9厅5卫,低楼层（2层）,322.59㎡,87000,链家,"官方核验,近地铁,精装",0
密云-溪翁庄镇-观唐云鼎,南北,整租,5室3厅4卫,低楼层（2层）,404.51㎡,2000,链家,官方核验,0
顺义-顺义城-红杉一品,南北,整租,1室1厅1卫,高楼层（16层）,61.66㎡,3200,链家,"官方核验,精装,集中供暖,随时看房",0
海淀-清河-强佑清河新城府学上院,南,整租,1室1厅1卫,低楼层（14层）,38.85㎡,5890,自如,"公寓,近地铁,精装,押一付一,随时看房",0
大兴-旧宫-亦庄北岸,北东北,整租,2室1厅1卫,高楼层（11层）,62.90㎡,4500,链家,"官方核验,随时看房",0
昌平-北七家-望都家园,南北,整租,3室2厅2卫,高楼层（6层）,142.65㎡,5200,链家,"官方核验,精装,集中供暖,双卫生间,随时看房",0
朝阳-十里堡-京棉新城,西,合租,3居室,低楼层（28层）,16.30㎡,3065,自如,"公寓,精装,独立阳台,集中供暖,押一付一,随时看房",0
朝阳-中央别墅区-景粼原著,南北,整租,3室1厅2卫,高楼层（8层）,134.17㎡,18000,链家,"官方核验,精装,集中供暖,双卫生间,随时看房",0
门头沟-大峪-门头沟京汉铂寓,东,合租,3居室,低楼层（27层）,7.50㎡,1460,自如,"公寓,精装,集中供暖,押一付一,随时看房",0
通州-通州其它-芳草园别墅,南北,整租,5室2厅2卫,低楼层（3层）,244.80㎡,22000,链家,"官方核验,精装,集中供暖,双卫生间,随时看房",0
石景山-鲁谷-北方中惠国际中心,南,整租,3房间1卫,高楼层（14层）,57.00㎡,9800,链家,"官方核验,近地铁,精装,集中供暖",0
朝阳-望京-保利中央公园,南北,整租,4室2厅3卫,低楼层（15层）,168.00㎡,25000,链家,"官方核验,精装,集中供暖,随时看房",0
通州-潞苑-V7九间堂,南北,整租,5室5厅6卫,低楼层（5层）,277.14㎡,17000,链家,"官方核验,精装,集中供暖,随时看房",0
朝阳-中央别墅区-康营家园十五区,南,整租,1室1厅1卫,高楼层（11层）,65.70㎡,4873,自如,"公寓,月租,精装,押一付一,随时看房",1
顺义-后沙峪-智地香蜜湾,北,整租,3房间2卫,低楼层（8层）,51.87㎡,6200,链家,"官方核验,精装,集中供暖,双卫生间",0
房山-长阳-长阳国际城二区,南,合租,3居室,高楼层（20层）,8.80㎡,1460,自如,"公寓,精装,押一付一",1
门头沟-上岸地铁-泷悦•长安剑桥园,南北,整租,5室1厅6卫,低楼层（3层）,255.00㎡,19999,链家,"官方核验,集中供暖,随时看房",0
朝阳-劲松-农光里,东,合租,3居室,高楼层（6层）,6.84㎡,2290,自如,"公寓,近地铁,精装,集中供暖,押一付一",1
昌平-小汤山-未来城市,南北,整租,3室2厅2卫,高楼层（10层）,134.35㎡,10000,链家,"官方核验,精装,集中供暖,双卫生间",0
门头沟-门头沟其它-华萃西山,南北,整租,4室2厅2卫,高楼层（8层）,128.00㎡,16000,链家,"官方核验,精装,集中供暖,双卫生间",0
朝阳-东坝-汇景苑四区,南,整租,2室1厅1卫,低楼层（29层）,87.50㎡,4600,链家,"官方核验,集中供暖",0
怀柔-怀柔-乐红园,南北,整租,3室2厅2卫,高楼层（6层）,147.32㎡,3000,链家,"官方核验,精装,集中供暖,双卫生间,随时看房",0
石景山-鲁谷-北重西厂,东,合租,2居室,低楼层（6层）,48.90㎡,3930,自如,"公寓,精装,独立阳台,集中供暖,押一付一",1
丰台-马家堡-冬季星空,北,合租,4居室,低楼层（8层）,12.60㎡,2630,自如,"公寓,精装,集中供暖,押一付一,随时看房",0
丰台-方庄-日月天地,北,整租,1室1厅1卫,中楼层（28层）,102.25㎡,8000,链家,"官方核验,集中供暖,随时看房",0
丰台-科技园区-怡锦园,东,合租,3居室,高楼层（30层）,17.00㎡,2790,自如,"公寓,精装,独立阳台,集中供暖,押一付一,随时看房",0
顺义-天竺-希望家园,南北,整租,3室2厅2卫,中楼层（6层）,152.12㎡,6900,链家,"官方核验,精装,集中供暖,双卫生间",0
亦庄开发区-亦庄-亲爱的villa,南北,整租,7室9厅5卫,低楼层（2层）,322.59㎡,87000,链家,"官方核验,近地铁,精装",0
海淀-小西天-新外大街3号院,南,整租,1室1厅1卫,高楼层（4层）,26.50㎡,5655,自如,"公寓,精装,集中供暖,押一付一,随时看房",0
大兴-旧宫-亦庄北岸,北东北,整租,2室1厅1卫,高楼层（11层）,62.90㎡,4500,链家,"官方核验,随时看房",0
昌平-北七家-望都家园,南北,整租,3室2厅2卫,高楼层（6层）,142.65㎡,5200,链家,"官方核验,精装,集中供暖,双卫生间,随时看房",0
朝阳-中央别墅区-景粼原著,南北,整租,3室1厅2卫,高楼层（8层）,134.17㎡,18000,链家,"官方核验,精装,集中供暖,双卫生间,随时看房",0
门头沟-大峪-西山艺境华墅,南北,整租,3室3厅3卫,中楼层（5层）,226.91㎡,10000,链家,"官方核验,集中供暖,随时看房",0
朝阳-常营-北京像素南区,北,合租,3居室,低楼层（16层）,10.00㎡,2190,自如,"公寓,精装,集中供暖,押一付一,随时看房",0
顺义-顺义城-红杉一品,南北,整租,1室1厅1卫,高楼层（16层）,61.66㎡,3200,链家,"官方核验,精装,集中供暖,随时看房",0
通州-临河里-金隅自由筑,南,整租,1房间1卫,中楼层（7层）,74.25㎡,2800,链家,"官方核验,集中供暖,随时看房",0
海淀-清河-永泰东里,南,整租,2室1厅1卫,高楼层（6层）,59.08㎡,6460,自如,"公寓,精装,集中供暖,押一付一,随时看房",0
丰台-蒲黄榆-蒲安里,北,合租,3居室,高楼层（6层）,9.80㎡,2390,自如,"公寓,精装,集中供暖,押一付一,随时看房",0
通州-通州其它-芳草园别墅,南北,整租,5室2厅2卫,低楼层（3层）,244.80㎡,22000,链家,"官方核验,精装,集中供暖,双卫生间,随时看房",0
门头沟-石门营-云梦嘉苑,南,合租,3居室,高楼层（21层）,9.00㎡,1860,自如,"公寓,近地铁,精装,集中供暖,押一付一,随时看房",0
石景山-鲁谷-北方中惠国际中心,南,整租,3房间1卫,高楼层（14层）,57.00㎡,9800,链家,"官方核验,近地铁,精装,集中供暖",0
朝阳-双井-富力城D区,南北,整租,3室2厅3卫,低楼层（17层）,241.00㎡,29000,链家,"官方核验,精装,集中供暖,随时看房",0
朝阳-百子湾-金泰先锋北区,南,整租,2室1厅2卫,中楼层（16层）,93.00㎡,8200,链家,"官方核验,精装,集中供暖,双卫生间,随时看房",0
朝阳-双井-时代国际嘉园,东南北,整租,2室1厅1卫,低楼层（21层）,107.05㎡,9300,链家,"官方核验,近地铁,精装,集中供暖",0
海淀-公主坟-普惠北里,南,整租,1室1厅1卫,高楼层（7层）,46.70㎡,6730,自如,"公寓,精装,集中供暖,押一付一",1
顺义-李桥-馨港庄园二区,西南,整租,1室1厅1卫,中楼层（6层）,44.00㎡,2600,链家,"官方核验,集中供暖",0
朝阳-双井-百环家园,东,整租,1室1厅1卫,高楼层（26层）,59.00㎡,6590,自如,"公寓,月租,精装,集中供暖,押一付一,随时看房",1
海淀-西三旗-育新花园,南,整租,3室0厅1卫,中楼层（22层）,74.80㎡,5400,链家,"官方核验,近地铁,集中供暖",0
朝阳-望京-北纬40度二期,南,合租,3居室,中楼层（25层）,11.20㎡,3760,自如,"公寓,近地铁,精装,独立阳台,集中供暖,押一付一,随时看房",1
朝阳-东坝-金隅悦和园,南,合租,3居室,低楼层（21层）,9.00㎡,2060,自如,"公寓,精装,集中供暖,押一付一",1
海淀-六里桥-橙色年代,东,整租,2房间1卫,低楼层（24层）,60.00㎡,5500,链家,"官方核验,随时看房",0
朝阳-北苑-旭辉奥都,西,整租,1室1厅1卫,高楼层（19层）,48.76㎡,5990,自如,"公寓,精装,集中供暖,押一付一,随时看房",1
亦庄开发区-亦庄-林肯公寓,西南,整租,6房间3卫,低楼层（11层）,120.77㎡,13500,链家,"官方核验,近地铁,精装,集中供暖,随时看房",0
朝阳-欢乐谷-世纪东方城南区,西北,整租,1室1厅1卫,高楼层（15层）,59.60㎡,5100,链家,"官方核验,近地铁,集中供暖",0
大兴-南中轴机场商务区-金色漫香郡北区,南,整租,2室1厅1卫,中楼层（8层）,97.00㎡,3500,链家,"官方核验,精装,集中供暖",0
朝阳-朝青-首开熙悦尚郡,北,合租,5居室,中楼层（17层）,18.00㎡,2000,汇欣公寓,"公寓,精装,集中供暖,随时看房",1
丰台-科技园区-怡海花园恒泰园,东南,整租,3室1厅2卫,低楼层（29层）,208.00㎡,18000,链家,"官方核验,精装,集中供暖,双卫生间",0
通州-北关-万科大都会滨江N2,东南,整租,2室1厅2卫,高楼层（42层）,130.00㎡,15500,好房好宅,"租住保障,公寓,近地铁,精装,双卫生间",1
顺义-顺义城-双兴南区,南北,整租,5室2厅2卫,高楼层（6层）,172.00㎡,5900,链家,"官方核验,近地铁,集中供暖,双卫生间,随时看房",0
密云-溪翁庄镇-弗农小镇,南北,整租,3室1厅1卫,高楼层（9层）,97.73㎡,3600,链家,"官方核验,精装,随时看房",0
顺义-马坡-首开中晟广场,西,整租,2房间1卫,高楼层（10层）,42.76㎡,2700,链家,"官方核验,精装,集中供暖",0
朝阳-北苑-亚奥金茂悦,南北,整租,4室2厅3卫,低楼层（18层）,180.00㎡,24000,链家,"官方核验,精装,集中供暖",0
海淀-清河-橡树湾四期,南北,整租,3室2厅2卫,高楼层（18层）,142.10㎡,16000,链家,"官方核验,精装,集中供暖,双卫生间,随时看房",0
东城-和平里-交林,南,整租,1室1厅1卫,中楼层（4层）,40.97㎡,6000,链家,"官方核验,近地铁,精装,集中供暖,随时看房",0
丰台-丰台其它-园博府,南北,整租,3室2厅2卫,高楼层（18层）,190.00㎡,15000,链家,"官方核验,近地铁,精装,集中供暖,双卫生间",0
西城-金融街-西城晶华,东西,整租,2室1厅1卫,中楼层（11层）,94.00㎡,21000,链家,"官方核验,近地铁,精装,集中供暖",0
石景山-鲁谷-远洋山水,南北,整租,3室2厅2卫,高楼层（18层）,134.00㎡,9800,链家,"官方核验,精装,集中供暖,双卫生间",0
密云-鼓楼街道-恋日水岸,南北,整租,3室2厅2卫,高楼层（6层）,130.63㎡,1900,链家,"官方核验,精装,集中供暖,双卫生间",0
丰台-马家堡-东亚三环,北,整租,2房间1卫,高楼层（21层）,33.50㎡,5130,自如,"公寓,月租,近地铁,精装,集中供暖,押一付一,随时看房",0
密云-鼓楼街道-宾阳里小区,东南,整租,2室1厅1卫,中楼层（6层）,67.00㎡,1500,链家,"官方核验,精装,集中供暖",0
丰台-蒲黄榆-蒲黄榆三里,东,合租,3居室,低楼层（6层）,14.37㎡,2530,自如,"公寓,近地铁,精装,集中供暖,押一付一,随时看房",0
海淀-六里桥-海淀九号,南北,整租,3室1厅2卫,高楼层（12层）,145.00㎡,14700,链家,"官方核验,精装,集中供暖,双卫生间,随时看房",0
丰台-玉泉营-亿朋苑三区,南北,整租,1室0厅1卫,低楼层（28层）,42.00㎡,3800,链家,"官方核验,近地铁,精装",0
东城-东直门-万国城MOMA,南,整租,1室1厅1卫,高楼层（27层）,59.61㎡,9200,链家,"官方核验,近地铁,精装,集中供暖",0
通州-万达-玉带河西街,东南,整租,2室1厅1卫,低楼层（6层）,52.43㎡,3000,链家,"官方核验,近地铁,集中供暖,随时看房",0
通州-九棵树(家乐福)-大方居,东西,整租,2室1厅1卫,中楼层（22层）,86.66㎡,3642,链家,"官方核验,精装,集中供暖,随时看房",0
东城-东四-沙滩后街55号院,南,整租,2室1厅1卫,高楼层（5层）,68.68㎡,11289,自如,"公寓,精装,集中供暖,押一付一",1
朝阳-农展馆-麦子店街,南,整租,1室1厅1卫,中楼层（6层）,35.87㎡,6190,自如,"公寓,精装,集中供暖,押一付一",1
海淀-圆明园-芙蓉里,南北,整租,2室1厅1卫,高楼层（6层）,57.50㎡,9500,链家,"官方核验,近地铁,精装,集中供暖,随时看房",0
东城-建国门内-苏州胡同,南,整租,2室1厅1卫,高楼层（5层）,55.19㎡,9260,自如,"公寓,近地铁,精装,集中供暖,押一付一",1
通州-通州其它-十里春风,南,整租,2室1厅1卫,高楼层（27层）,79.00㎡,1800,链家,"官方核验,集中供暖",0
通州-通州北苑-竹木厂小区,北,合租,2居室,低楼层（6层）,9.20㎡,1930,自如,"公寓,精装,押一付一,随时看房",1
房山-长阳-万科长阳天地5号院,南北,整租,3室2厅2卫,中楼层（21层）,103.91㎡,4800,链家,"官方核验,精装,集中供暖,双卫生间,随时看房",0
朝阳-朝阳公园-亮马桥路九号院,东,合租,2居室,中楼层（6层）,13.80㎡,3630,自如,"公寓,月租,精装,独立阳台,集中供暖,押一付一",1
朝阳-四惠-爱这城一期,东北,整租,1室1厅1卫,低楼层（18层）,63.00㎡,7100,链家,"官方核验,精装,集中供暖",0
顺义-顺义其它-旭辉空港中心,南,整租,1房间1卫,高楼层（12层）,89.05㎡,5000,链家,"官方核验,集中供暖",0
昌平-西三旗-旗胜家园,南,整租,2室1厅1卫,低楼层（11层）,89.00㎡,5900,链家,"官方核验,近地铁,精装,随时看房",0
丰台-玉泉营-怡海花园恒丰园,北,合租,5居室,低楼层（29层）,15.40㎡,2760,自如,"公寓,精装,集中供暖,押一付一,随时看房",0
丰台-马家堡-枫竹苑二区,南,合租,3居室,低楼层（16层）,18.60㎡,3068,自如,"公寓,月租,近地铁,精装,独立阳台,押一付一,随时看房",0
通州-通州北苑-华兴园,南北,整租,1室1厅1卫,中楼层（6层）,51.86㎡,4250,链家,"官方核验,近地铁,精装,集中供暖",0
怀柔-怀柔-北京建工·璟玥林汐,南,整租,3室1厅2卫,高楼层（12层）,87.00㎡,3300,链家,"官方核验,精装,集中供暖,双卫生间",0
朝阳-百子湾-大成国际,东南,整租,2室1厅1卫,低楼层（21层）,110.00㎡,8000,链家,"官方核验,精装,集中供暖,随时看房",0
通州-武夷花园-百合湾西区,西,整租,2房间1卫,低楼层（13层）,35.87㎡,3700,链家,"官方核验,精装,集中供暖,随时看房",0
丰台-玉泉营-优筑,南北,整租,3室2厅2卫,高楼层（18层）,147.00㎡,9900,链家,"官方核验,近地铁,精装,集中供暖,双卫生间,随时看房",0
昌平-北七家-王府温馨公寓,南北,整租,2室1厅1卫,低楼层（6层）,89.00㎡,4900,链家,"官方核验,精装,集中供暖,随时看房",0
东城-广渠门-北京上舍,南,整租,2室0厅1卫,低楼层（15层）,81.62㎡,7000,链家,"官方核验,精装,集中供暖",0
朝阳-甘露园-甘露园南里,南北,整租,2室1厅1卫,低楼层（6层）,55.00㎡,5200,链家,"官方核验,近地铁,精装,集中供暖,随时看房",0
朝阳-潘家园-弘善家园,南北,整租,3室1厅1卫,中楼层（12层）,97.00㎡,7300,链家,"官方核验,近地铁,精装,随时看房",0
朝阳-欢乐谷-北京华侨城2号院,西,整租,2室2厅2卫,低楼层（8层）,104.80㎡,9800,链家,"官方核验,近地铁,精装,集中供暖,双卫生间,随时看房",0
顺义-顺义城-前进花园石门苑,北,合租,3居室,高楼层（6层）,8.00㎡,1390,自如,"公寓,近地铁,精装,集中供暖,押一付一",0
顺义-首都机场-南竺园,南,整租,2室1厅1卫,低楼层（6层）,79.77㎡,3700,链家,"官方核验,精装,集中供暖,随时看房",0
朝阳-西坝河-西坝河中里,南北,整租,3室1厅1卫,低楼层（12层）,77.80㎡,8500,链家,"官方核验,近地铁,精装,集中供暖,随时看房",0
海淀-西山-京泉馨苑东里,南,合租,3居室,低楼层（5层）,10.70㎡,2454,自如,"公寓,精装,押一付一,随时看房",1
东城-东直门-东直门内北小街2号院,西,整租,2室1厅1卫,低楼层（20层）,110.00㎡,13000,链家,"官方核验,精装",0
昌平-天通苑-天通西苑三区,北,合租,4居室,中楼层（32层）,13.00㎡,2290,自如,"公寓,月租,近地铁,精装,集中供暖,押一付一,随时看房",1
朝阳-三元桥-第三置业,南,整租,1室0厅1卫,中楼层（28层）,287.23㎡,43000,链家,"官方核验,近地铁,集中供暖",0
房山-窦店-北京城建琨廷北区,南北,整租,3室2厅2卫,低楼层（9层）,127.03㎡,3100,链家,"官方核验,集中供暖,双卫生间,随时看房",0
顺义-顺义城-悦君家园,南,整租,3房间2卫,中楼层（10层）,62.00㎡,3650,链家,"官方核验,近地铁,精装,集中供暖,双卫生间",0
昌平-霍营-龙锦苑东一区,北,合租,4居室,中楼层（6层）,16.00㎡,1700,宠家公寓,"公寓,近地铁,精装,集中供暖,随时看房",1
朝阳-十里河-周家庄中路20号院,北,合租,3居室,低楼层（16层）,13.00㎡,2300,润寓,"租住保障,近地铁,精装,集中供暖,随时看房",1
海淀-中关村-新科祥园,东北,整租,3室1厅1卫,低楼层（18层）,117.24㎡,19000,链家,"官方核验,集中供暖,随时看房",0
大兴-天宫院-瑞公馆,南,整租,3房间2卫,高楼层（14层）,54.00㎡,3300,链家,"官方核验,近地铁,集中供暖,双卫生间,随时看房",0
朝阳-燕莎-远洋新干线,东北,整租,3室1厅1卫,低楼层（26层）,178.94㎡,19000,链家,"官方核验,近地铁,集中供暖",0
朝阳-酒仙桥-阳光上东,南北,整租,4室2厅3卫,中楼层（9层）,288.00㎡,34000,链家,"官方核验,近地铁,精装,集中供暖,随时看房",0
朝阳-望京-鹿港嘉苑,北,整租,1室1厅1卫,高楼层（23层）,51.48㎡,7248,自如,"公寓,月租,精装,集中供暖,押一付一,随时看房",1
朝阳-常营-长楹天街东区,南北,整租,3室1厅2卫,低楼层（18层）,141.00㎡,14000,链家,"官方核验,精装,双卫生间",0
昌平-回龙观-龙腾苑四区,北,合租,3居室,高楼层（6层）,18.00㎡,1750,北京青果公寓,"公寓,近地铁,精装,集中供暖",1
朝阳-北苑-天润福熙大道,西南北,整租,3室2厅2卫,低楼层（27层）,170.55㎡,14200,链家,"官方核验,近地铁,精装,集中供暖,双卫生间",0
顺义-顺义城-港馨家园东区,南北,整租,2室1厅1卫,高楼层（6层）,95.20㎡,2500,链家,"官方核验,精装,集中供暖",0
通州-万达-后南仓,南,整租,1室1厅1卫,低楼层（4层）,36.92㎡,3930,自如,"公寓,精装,集中供暖,押一付一,随时看房",0
昌平-回龙观-龙锦苑二区,南,整租,2室1厅1卫,中楼层（6层）,88.77㎡,6004,自如,"公寓,月租,近地铁,精装,押一付一,随时看房",0
丰台-宋家庄-方恒偶寓,东北,整租,5房间2卫,中楼层（15层）,81.92㎡,10000,链家,"官方核验,精装,集中供暖,双卫生间,随时看房",0
朝阳-管庄-管庄东里,南,整租,2室1厅1卫,高楼层（3层）,58.40㎡,3500,链家,"官方核验,集中供暖,随时看房",0
海淀-万柳-新起点嘉园,西南,整租,6室2厅3卫,低楼层（18层）,299.19㎡,40000,链家,"官方核验,近地铁,精装,集中供暖,随时看房",0
大兴-高米店-新里西斯莱公馆,北,合租,4居室,中楼层（24层）,6.30㎡,1860,自如,"公寓,近地铁,精装,独立阳台,集中供暖,押一付一,随时看房",0
朝阳-惠新西街-惠新苑,东,合租,3居室,中楼层（14层）,7.60㎡,2745,自如,"公寓,近地铁,精装,集中供暖,押一付一,随时看房",0
朝阳-十里河-林达海渔广场,东南,整租,3房间1卫,低楼层（15层）,98.90㎡,7500,链家,"官方核验,精装,集中供暖,随时看房",0
海淀-万柳-光大水墨风景,南,整租,2室1厅1卫,中楼层（16层）,92.44㎡,18000,链家,"官方核验,精装",0
大兴-旧宫-紫郡府,南北,整租,3室1厅2卫,中楼层（9层）,106.00㎡,8000,链家,"官方核验,近地铁,精装,集中供暖,双卫生间,随时看房",0
西城-西单-复地西绒线26号,西,整租,1室1厅1卫,高楼层（16层）,74.60㎡,16000,链家,"官方核验,近地铁,精装,集中供暖",0
朝阳-朝阳公园-观湖国际写字楼,东,整租,4室2厅2卫,高楼层（19层）,337.87㎡,65000,链家,"官方核验,精装,集中供暖,双卫生间",0
顺义-中央别墅区-欧陆苑,东南南,整租,3室2厅3卫,低楼层（2层）,232.53㎡,40000,链家,"官方核验,精装",0
朝阳-朝阳公园-泛海国际香海园,南北,整租,4室2厅3卫,高楼层（18层）,248.00㎡,36000,链家,"官方核验,精装,集中供暖",0
丰台-玉泉营-鸿业兴园一区,西南,整租,1室1厅1卫,高楼层（21层）,58.07㎡,5830,自如,"公寓,精装,押一付一,随时看房",1
海淀-马连洼-西山华府禧园,南北,整租,2室1厅1卫,高楼层（6层）,95.00㎡,12000,链家,"官方核验,近地铁,精装,集中供暖,随时看房",0
朝阳-欢乐谷-世纪东方城北区,东西,整租,2室1厅1卫,低楼层（21层）,82.00㎡,7000,链家,"官方核验,近地铁,集中供暖",0
顺义-顺义城-裕龙四区,南北,整租,3室1厅1卫,中楼层（6层）,106.00㎡,4000,链家,"官方核验,精装,集中供暖,随时看房",0
海淀-西北旺-润千秋佳苑,南北,整租,4室2厅2卫,低楼层（6层）,165.00㎡,20000,链家,"官方核验,近地铁,精装,集中供暖,双卫生间",0
通州-九棵树(家乐福)-大方居,南北,整租,2室1厅1卫,中楼层（15层）,87.28㎡,4600,链家,"官方核验,精装,集中供暖",0
通州-武夷花园-光讯花园,南北,整租,2室1厅1卫,高楼层（6层）,89.91㎡,3800,链家,"官方核验,精装,集中供暖",0
昌平-天通苑-天通西苑二区,北,合租,3居室,高楼层（32层）,12.90㎡,2530,自如,"公寓,近地铁,精装,集中供暖,押一付一",1
怀柔-怀柔-东关一区,南北,整租,2室1厅1卫,高楼层（6层）,78.00㎡,2100,链家,"官方核验,集中供暖",0
石景山-古城-古城南路,北,合租,3居室,中楼层（5层）,12.80㎡,2490,自如,"公寓,近地铁,精装,集中供暖,押一付一,随时看房",1
朝阳-百子湾-沿海赛洛城五期,北,合租,4居室,高楼层（11层）,9.30㎡,2490,自如,"公寓,精装,集中供暖,押一付一",1
密云-果园街道-瑞海姆公寓,南北,整租,3室2厅2卫,低楼层（11层）,155.04㎡,3500,链家,"官方核验,精装,集中供暖,双卫生间,随时看房",0
海淀-上地-怡美家园,南,合租,4居室,中楼层（12层）,16.40㎡,4790,自如,"公寓,独立卫生间,近地铁,精装,独立阳台,押一付一,随时看房",1
朝阳-望京-朝庭,北,合租,5居室,低楼层（27层）,15.96㎡,3530,自如,"公寓,月租,近地铁,精装,独立阳台,押一付一,随时看房",0
丰台-马家堡-马家堡西里,东西,整租,1室1厅1卫,低楼层（14层）,57.00㎡,5500,链家,"官方核验,集中供暖",0
通州-通州北苑-长城国际,东,整租,1室1厅1卫,中楼层（15层）,52.84㎡,3300,链家,"官方核验,精装,集中供暖,随时看房",0
石景山-苹果园-西井小区一区,南,合租,2居室,中楼层（6层）,13.68㎡,3090,自如,"公寓,近地铁,精装,独立阳台,集中供暖,押一付一,随时看房",0
朝阳-望京-望京花园东区,西南,整租,2室1厅2卫,高楼层（22层）,125.20㎡,9623,自如,"公寓,月租,近地铁,精装,押一付一,双卫生间,随时看房",0
朝阳-劲松-农光里,南,整租,2室1厅1卫,低楼层（23层）,59.89㎡,5400,链家,"官方核验,集中供暖,随时看房",0
大兴-高米店-翡翠城三期,南北,整租,4室2厅3卫,低楼层（3层）,192.99㎡,12500,链家,"官方核验,随时看房",0
怀柔-怀柔-顶秀美泉小镇B区,南北,整租,5室2厅2卫,高楼层（5层）,119.00㎡,7500,链家,"官方核验,精装,集中供暖,双卫生间,随时看房",0
房山-良乡-旭辉E天地,北,整租,2房间1卫,高楼层（14层）,33.50㎡,3200,链家,"官方核验,近地铁,精装,集中供暖",0
